t,p1,p2,p3,amplitude,angle
1.35735735735736,-44.7529425918736,-28.3944985683653,-1.85266796030543,-50,1.18339432657614
1.36136136136136,-44.5937848916438,-28.6498701328738,-1.75645375662393,-50,1.19371215101954
1.36536536536537,-44.4320026668907,-28.9056987816716,-1.66240698041178,-50,1.20406422135154
1.36936936936937,-44.2675954021008,-29.1619485943183,-1.57056406755172,-50,1.21445035557153
1.37337337337337,-44.100563240723,-29.4185831540819,-1.48096129125773,-50,1.22487037108003
1.37737737737738,-43.9309069920979,-29.675565553335,-1.39363474975075,-50,1.2353240846819
1.38138138138138,-43.7586281382226,-29.9328583992013,-1.30862035384604,-50,1.24581131258954
1.38538538538539,-43.583728840349,-30.1904238194548,-1.22595381445664,-50,1.25633187042612
1.38938938938939,-43.406211945407,-30.4482234686721,-1.1456706300178,-50,1.26688557322886
1.39339339339339,-43.22608099225,-30.7062185346365,-1.06780607383689,-50,1.27747223545224
1.3973973973974,-43.0433402177171,-30.9643697449958,-0.992395181373984,-50,1.28809167097128
1.4014014014014,-42.8579945625065,-31.2226373741732,-0.91947273745783,-50,1.29874369308481
1.40540540540541,-42.6700496768552,-31.48098125053,-0.849073263442446,-50,1.30942811451876
1.40940940940941,-42.4795119260212,-31.7393607637823,-0.781231004309507,-50,1.32014474742942
1.41341341341341,-42.2863883955617,-31.9977348726685,-0.715979915721718,-50,1.33089340340681
1.41741741741742,-42.0906868964036,-32.2560621128696,-0.653353651032609,-50,1.3416738934779
1.42142142142142,-41.8924159697014,-32.5143006051796,-0.593385548258213,-50,1.35248602811003
1.42542542542543,-41.6915848914771,-32.7724080639262,-0.536108617016059,-50,1.36332961721415
1.42942942942943,-41.4882036770384,-33.0303418056414,-0.481555525437288,-50,1.37420447014825
1.43343343343343,-41.2822830851698,-33.2880587579787,-0.429758587057405,-50,1.38511039572063
1.43743743743744,-41.0738346220923,-33.5455154688787,-0.380749747691631,-50,1.39604720219332
1.44144144144144,-40.8628705451878,-33.8026681159788,-0.33456057230061,-50,1.40701469728543
1.44544544544545,-40.6494038664827,-34.0594725162678,-0.291222231852445,-50,1.41801268817652
1.44944944944945,-40.4334483558878,-34.3158841359816,-0.250765490187116,-50,1.42904098151001
1.45345345345345,-40.2150185441881,-34.5718581007402,-0.213220690889304,-50,1.44009938339656
1.45745745745746,-39.9941297257811,-34.8273492059223,-0.178617744175849,-50,1.45118769941752
1.46146146146146,-39.7707979611575,-35.0823119272767,-0.146986113803965,-50,1.46230573462827
1.46546546546547,-39.5450400791208,-35.3367004317669,-0.118354804006582,-50,1.47345329356173
1.46946946946947,-39.3168736787419,-35.5904685886478,-0.0927523464611002,-50,1.48463018023174
1.47347347347347,-39.0863171310461,-35.8435699807706,-0.0702067872979439,-50,1.49583619813655
1.47747747747748,-38.8533895804263,-36.0959579161146,-0.0507456741553808,-50,1.50707115026223
1.48148148148148,-38.6181109457811,-36.3475854395412,-0.034396043287066,-50,1.51833483908616
1.48548548548549,-38.3805019213734,-36.5984053447691,-0.0211844067288608,-50,1.52962706658051
1.48948948948949,-38.1405839774064,-36.8483701865653,-0.0111367395315115,-50,1.54094763421569
1.49349349349349,-37.8983793603128,-37.097432293151,-0.00427846706574642,-50,1.55229634296386
1.4974974974975,-37.6539110927556,-37.3455437788164,-0.000634452406497732,-50,1.56367299330246
1.5015015015015,-37.4072029733366,-37.5926565567424,-0.000228983802857963,-50,1.57507738521766
1.50550550550551,-37.1582795760094,-37.8387223520254,-0.00308576224052892,-50,1.58650931820789
1.50950950950951,-36.907166249195,-38.0836927148995,-0.00922788910341643,-50,1.59796859128742
1.51351351351351,-36.6538891145967,-38.3275190341548,-0.0186778539411708,-50,1.6094550029898
1.51751751751752,-36.3984750657121,-38.5701525507448,-0.0314575223493652,-50,1.62096835137151
1.52152152152152,-36.1409517660397,-38.8115443715801,-0.0475881239691195,-50,1.63250843401541
1.52552552552553,-35.8813476469781,-39.0516454835039,-0.0670902406128937,-50,1.64407504803435
1.52952952952953,-35.6196919054157,-39.2904067674431,-0.0899837945232268,-50,1.65566799007475
1.53353353353353,-35.3560145010082,-39.5277790127328,-0.116288036771237,-50,1.66728705632014
1.53753753753754,-35.0903461531436,-39.7637129316057,-0.146021535801524,-50,1.67893204249476
1.54154154154154,-34.8227183375915,-39.9981591738453,-0.179202166130341,-50,1.69060274386715
1.54554554554555,-34.5531632828369,-40.2310683415938,-0.215847097203664,-50,1.70229895525375
1.54954954954955,-34.2817139660951,-40.4623910043125,-0.255972782421951,-50,1.71402047102251
1.55355355355355,-34.0084041090084,-40.6920777138868,-0.299594948338186,-50,1.72576708509648
1.55755755755756,-33.7332681730231,-40.9200790198716,-0.346728584035932,-50,1.73753859095749
1.56156156156156,-33.4563413544448,-41.1463454848708,-0.39738793069399,-50,1.74933478164972
1.56556556556557,-33.1776595791736,-41.3708277000451,-0.451586471344204,-50,1.76115544978337
1.56956956956957,-32.8972594971159,-41.5934763007414,-0.50933692082902,-50,1.7730003875383
