time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
0.81;0.276209174;0.447296602;0.447633758;0.447853308;0.76643568;-3.99E-17;1.35451505;0.244414718;13.46397851;0.73172741;0.21335543
0.82;0.280640395;0.443122097;0.438610436;0.435730033;0.76643568;6.59E-16;1.371237458;0.250653228;13.58806609;0.74172741;0.21620671
0.83;0.284803862;0.416346773;0.39408311;0.391184403;0.76643568;-1.05E-15;1.387959866;0.257263684;13.72566517;0.75172741;0.2191132
0.84;0.288206334;0.340247181;0.286411252;0.278341842;0.76643568;1.00E-22;1.404682274;0.264250611;13.88167535;0.76172741;0.22207749
0.85;0.290031774;0.182543996;0.07867674;0.076948179;0.76643568;-3.57E-16;1.421404682;0.271568771;14.06380102;0.77172741;0.22510222
0.86;0.289608339;-0.04234353;-0.163363799;-0.169141491;0.76643568;-6.11E-16;1.43812709;0.278978849;14.28353735;0.78172741;0.22818989
0.87;0.286843531;-0.276480767;-0.389597734;-0.38501275;0.76643568;4.02E-16;1.454849498;0.285476324;14.5444585;0.79172741;0.2313428
0.88;0.282334273;-0.450925853;-0.512253971;-0.511297384;0.76643568;-1.11E-16;1.471571906;0.289225909;14.80474562;0.80172741;0.23456291
0.89;0.276906178;-0.542809445;-0.573364918;-0.572406362;0.76643568;1.00E-22;1.488294314;0.290142332;15.04183097;0.81172741;0.23785171
0.9;0.271031811;-0.587436681;-0.601508444;-0.601279113;0.76643568;-2.95E-17;1.505016722;0.288465174;15.29428123;0.82172741;0.24121003
0.91;0.264956127;-0.607568485;-0.613628526;-0.613689707;0.76643568;-3.04E-17;1.52173913;0.282916727;15.5978571;0.83172741;0.24463783
0.92;0.258803203;-0.615292363;-0.6169562;-0.616631672;0.76643568;1.39E-16;1.538461538;0.273903263;15.89846692;0.84172741;0.24813393
