time,kinetic_energy,potential_energy,total_energy,L_1,L_2,L_3,P_1,P_2,P_3,energy_increment,external_power,external_work,power_balance,angmom_increment_1,angmom_increment_2,angmom_increment_3,linmom_increment_1,linmom_increment_2,linmom_increment_3,center_of_mass_1,center_of_mass_2,center_of_mass_3,center_of_mass_difference_1,center_of_mass_difference_2,center_of_mass_difference_3
4.6,581.249127038994,3.04772561620661,584.296852655201,-0.0535217773596837,515.413345551595,268.790271757093,49.3600000000002,6.21724893790088e-15,6.77236045021345e-15,9.69132235452713,96.9132235452666,9.69132235452666,4.65405491922866e-13,0.000512273165036881,4.17195376875839,2.60128260506519,0.279999999999994,3.5527136788005e-15,1.32116539930394e-14,13.5088,8.88178419700125e-17,4.00000000000001,0.000266666666696835,8.88178419700125e-17,8.88178419700125e-15
4.7,591.520605715692,2.46756929403602,593.988175009728,-0.0540340505247205,519.585299320354,271.391554362158,49.6400000000002,9.76996261670138e-15,-6.43929354282591e-15,6.9201639933488,69.2016399334856,6.92016399334856,2.45137243837235e-13,0.000730060345711658,2.89037898372669,1.77796966733479,0.200000000000024,1.11022302462516e-14,1.68753899743024e-14,14.0038,3.5527136788005e-16,4.00000000000001,0.000200000000022627,3.5527136788005e-16,7.99360577730113e-15
4.8,598.576138150619,2.33220085245824,600.908339003077,-0.0547641108704322,522.47567830408,273.169524029493,49.8400000000002,-1.33226762955019e-15,1.04360964314765e-14,4.00388221652537,40.0388221652476,4.00388221652476,6.11954931173386e-13,0.000610267398297948,1.66620225597762,1.00666630668047,0.120000000000033,8.88178419700125e-16,1.48769885299771e-14,14.5012,4.44089209850063e-16,4.00000000000001,0.000133333333366181,4.44089209850063e-16,8.88178419700125e-15
4.9,602.354702217935,2.55751900166762,604.912221219602,-0.0553743782687302,524.141880560058,274.176190336174,49.9600000000002,-4.44089209850063e-16,-4.44089209850063e-15,1.23809944604841,12.3809944604828,1.23809944604828,1.31006316905768e-13,0.000207848024950996,0.529224732546254,0.312702407382062,0.0399999999999991,3.5527136788005e-15,2.66453525910038e-15,15.0002,2.66453525910038e-16,4.00000000000001,6.66666666937488e-05,2.66453525910038e-16,8.88178419700125e-15
5,603.372597012292,2.77772365335829,606.150320665651,-0.0555822262936811,524.671105292604,274.488892743556,50.0000000000002,-3.99680288865056e-15,-7.105427357601e-15,6.11954931173386e-13,0,0,6.11954931173386e-13,1.53210777398272e-14,1.13686837721616e-13,1.13686837721616e-13,3.5527136788005e-14,4.44089209850063e-15,2.22044604925031e-15,15.5,2.66453525910038e-16,4.00000000000001,3.01980662698043e-14,2.66453525910038e-16,8.88178419700125e-15
5.1,603.202867231123,2.94745343452773,606.150320665651,-0.0555822262936658,524.671105292604,274.488892743556,50.0000000000003,-8.43769498715119e-15,-4.88498130835069e-15,1.51878509768721e-13,0,0,1.51878509768721e-13,2.77555756156289e-14,1.13686837721616e-13,0,9.2370555648813e-14,6.43929354282591e-15,1.57651669496772e-14,16,2.22044604925031e-16,4.00000000000001,3.90798504668055e-14,2.22044604925031e-16,8.88178419700125e-15
5.2,602.852508712873,3.29781195277804,606.150320665651,-0.0555822262936381,524.671105292604,274.488892743556,50.0000000000002,-1.48769885299771e-14,-2.06501482580279e-14,5.28022070511724e-13,0,0,5.28022070511724e-13,2.1316282072803e-14,6.82121026329696e-13,5.6843418860808e-14,3.5527136788005e-14,9.99200722162641e-16,1.17683640610267e-14,16.5,8.88178419700125e-17,4.00000000000001,4.2632564145606e-14,8.88178419700125e-17,8.88178419700125e-15
5.3,602.559703627854,3.59061703779783,606.150320665652,-0.0555822262936594,524.671105292605,274.488892743556,50.0000000000002,-1.38777878078145e-14,-3.24185123190546e-14,2.1316282072803e-14,0,0,2.1316282072803e-14,6.15063555642337e-14,2.27373675443232e-13,0,7.105427357601e-15,3.44169137633799e-15,7.7715611723761e-16,17,-1.11022302462516e-16,4.00000000000001,4.61852778244065e-14,1.11022302462516e-16,7.99360577730113e-15
5.4,602.430988281595,3.71933238405614,606.150320665652,-0.0555822262935979,524.671105292605,274.488892743556,50.0000000000002,-1.73194791841524e-14,-3.1641356201817e-14,5.06705788438921e-13,0,0,5.06705788438921e-13,2.22044604925031e-14,4.54747350886464e-13,1.13686837721616e-13,1.4210854715202e-14,1.55431223447522e-15,7.88258347483861e-15,17.5,-2.83106871279415e-16,4.00000000000001,4.61852778244065e-14,2.83106871279415e-16,7.99360577730113e-15
5.5,602.385855330868,3.76446533478394,606.150320665652,-0.0555822262936201,524.671105292605,274.488892743556,50.0000000000002,-1.88737914186277e-14,-3.95239396766556e-14,2.51798581984986e-13,0,0,2.51798581984986e-13,1.4432899320127e-14,3.41060513164848e-13,1.13686837721616e-13,2.8421709430404e-14,2.1094237467878e-15,7.32747196252603e-15,18,-4.88498130835069e-16,4.00000000000001,4.61852778244065e-14,4.88498130835069e-16,7.99360577730113e-15
5.6,602.552773027483,3.59754763816979,606.150320665652,-0.0555822262936345,524.671105292606,274.488892743556,50.0000000000003,-2.09832151654155e-14,-3.21964677141295e-14,3.17079695832945e-13,0,0,3.17079695832945e-13,1.80966353013901e-14,1.13686837721616e-13,5.6843418860808e-14,2.1316282072803e-14,4.69069227904129e-15,1.14908083048704e-14,18.5,-6.77236045021345e-16,4.00000000000001,4.9737991503207e-14,6.77236045021345e-16,7.105427357601e-15
5.7,602.887455146438,3.26286551921452,606.150320665653,-0.0555822262936164,524.671105292606,274.488892743556,50.0000000000003,-2.56739074444567e-14,-4.36872760189999e-14,2.62012633811537e-14,0,0,2.62012633811537e-14,4.66293670342566e-15,1.13686837721616e-13,0,2.8421709430404e-14,3.56659146660832e-15,2.24126273096203e-15,19.0000000000001,-9.65894031423886e-16,4.00000000000001,5.6843418860808e-14,9.65894031423886e-16,7.99360577730113e-15
