time,total_energy,energy_increment,external_power,dissipated_energy,power_balance
0.11,0.059232414712189,-0.000433697278171524,-0,0.0004394583564122,-8.93382590128056e-17
0.111,0.0587987174340175,-0.000431947911462428,-0,0.000433697278171435,-6.84673671924596e-17
0.112,0.058366769522555,-0.000434054370952196,-0,0.00043194791146236,5.6324302860622e-17
0.113,0.0579327151516029,-0.000439919091254848,-0,0.000434054370952252,-1.83013326715553e-16
0.114,0.057492796060348,-0.000448854003071555,-0,0.000439919091254665,9.37834879199961e-17
0.115,0.0570439420572764,-0.000460396618958595,-0,0.000448854003071649,-9.92587088910479e-17
0.116,0.0565835454383179,-0.000473844262845795,-0,0.000460396618958495,1.62955586524571e-16
0.117,0.0561097011754721,-0.000488177647569248,-0,0.000473844262845958,2.53161207275365e-17
0.118,0.0556215235279028,-0.000502704215116993,-0,0.000488177647569273,4.42354486374086e-17
0.119,0.0551188193127858,-0.000516365949281145,-0,0.000502704215117038,4.03323208164608e-17
0.12,0.0546024533635047,-0.00052820067020308,-0,0.000516365949281185,4.97648797170847e-17
0.121,0.0540742526933016,-0.000537562237056859,-0,0.00052820067020313,1.73472347597681e-18
0.122,0.0535366904562447,-0.000543515966158488,-0,0.00053756223705686,6.50521303491303e-18
0.123,0.0529931744900862,-0.000545648443734607,-0,0.000543515966158494,1.40946282423116e-18
0.124,0.0524475260463516,-0.000543659580593409,-0,0.000545648443734609,-1.11672823766007e-17
0.125,0.0519038664657582,-0.000537229746948878,-0,0.000543659580593397,1.45283091113058e-17
0.126,0.0513666367188094,-0.000526647252479764,-0,0.000537229746948892,1.16009632455949e-17
0.127,0.0508399894663296,-0.000512034921576525,0,0.000526647252479776,-2.05998412772246e-18
0.128,0.0503279545447531,-0.000493764052423962,0,0.000512034921576523,1.95156391047391e-18
0.129,0.0498341904923291,-0.000472556877302174,0,0.000493764052423964,2.66171633345191e-17
0.13,0.0493616336150269,-0.000448868190253103,0,0.000472556877302201,5.82216566624716e-17
0.131,0.0489127654247738,-0.000423566821661489,0,0.000448868190253161,8.14777932622857e-17
0.132,0.0484891986031123,-0.000397520797558309,0,0.000423566821661571,8.63024929298462e-17
0.133,0.048091677805554,-0.000371395648388693,0,0.000397520797558396,5.31259064517897e-17
0.134,0.0477202821571653,-0.00034624991079249,0,0.000371395648388747,1.06739703881198e-16
0.135,0.0473740322463728,-0.000322766842508183,0,0.000346249910792597,-6.01190104643212e-17
0.136,0.0470512654038647,-0.000301611621276017,0,0.000322766842508123,6.14200530713038e-17
0.137,0.0467496537825886,-0.000283542260928436,0,0.000301611621276078,1.05330241056967e-16
0.138,0.0464661115216602,-0.000268751970725262,0,0.000283542260928542,-1.72225515099322e-16
0.139,0.0461973595509349,-0.000257574637858048,0,0.000268751970725089,7.31836466427715e-17
0.14,0.0459397849130769,-0.000250071530137244,0,0.000257574637858121,-1.29399529286145e-16
0.141,0.0456897133829397,-0.000245909208472748,0,0.000250071530137115,-1.68051336735253e-16
0.142,0.0454438041744669,-0.000244974289730762,0,0.00024590920847258,-6.20705743747951e-17
0.143,0.0451988298847361,-0.000246708068263296,0,0.0002449742897307,7.56231015308639e-17
0.144,0.0449521218164728,-0.000250521509610878,0,0.000246708068263372,5.74085050331075e-17
0.145,0.044701600306862,-0.000255983089237438,0,0.000250521509610935,-4.28259858131774e-18
0.146,0.0444456172176245,-0.000262237074058015,0,0.000255983089237434,-1.25984292442816e-16
0.147,0.0441833801435665,-0.000268722861064788,-0,0.000262237074057889,-2.71050543121376e-17
0.148,0.0439146572825017,-0.000274810158375029,-0,0.000268722861064761,5.06322414550731e-17
0.149,0.0436398471241267,-0.000279660728818416,-0,0.000274810158375079,6.04984812246911e-17
0.15,0.0433601863953083,-0.000282880627004121,-0,0.000279660728818477,-1.06848124098446e-16
0.151,0.0430773057683042,-0.000283831925554652,-0,0.000282880627004015,-2.206351421008e-17
0.152,0.0427934738427495,-0.000282078175913664,-0,0.00028383192555463,-1.95156391047391e-18
0.153,0.0425113956668358,-0.000277527266589216,-0,0.000282078175913662,1.67780286192132e-16
0.154,0.0422338684002466,-0.000269877667716391,-0,0.000277527266589383,-2.06161043098119e-16
0.155,0.0419639907325302,-0.000259310095088276,-0,0.000269877667716185,4.70543742858709e-17
0.156,0.041704680637442,-0.000246086409085099,-0,0.000259310095088323,-4.68375338513738e-17
0.157,0.0414585942283569,-0.000230401348540341,-0,0.000246086409085052,1.39265769055763e-16
0.158,0.0412281928798165,-0.000212929525449421,-0,0.00023040134854048,2.42915496745377e-16
0.159,0.0410152633543671,-0.00019410957807596,-0,0.000212929525449664,2.2101461286117e-16
0.16,0.0408211537762911,-0.000174499587792247,-0,0.000194109578076181,2.04588949948015e-16
0.161,0.0406466541884989,-0.000154895084390462,-0,0.000174499587792452,-5.40745833527145e-17
0.162,0.0404917591041084,-0.000135710485686946,-0,0.000154895084390408,3.62096420555846e-16
0.163,0.0403560486184215,-0.000117678527297646,-0,0.000135710485687308,1.04652614699163e-16
0.164,0.0402383700911238,-0.000101391812313105,-0,0.000117678527297751,-1.6788870640938e-16
0.165,0.0401369782788107,-8.7202189345624e-05,-0,0.000101391812312937,3.65918233213858e-17
0.166,0.0400497760894651,-7.57309016582303e-05,-0,8.72021893456606e-05,-2.70264496546324e-16
0.167,0.0399740451878069,-6.71794487639987e-05,-0,7.573090165796e-05,2.02474755711668e-16
0.168,0.0399068657390429,-6.17027848287613e-05,-0,6.71794487642012e-05,3.55157526651939e-16
0.169,0.0398451629542141,-5.94952819418376e-05,-0,6.17027848291164e-05,2.03735140737182e-16
0.17,0.0397856676722723,-6.0240935605034e-05,-0,5.94952819420414e-05,3.00703472538855e-16
0.171,0.0397254267366672,-6.3780674218708e-05,-0,6.02409356053347e-05,-2.2056737946502e-16
0.172,0.0396616460624485,-6.97424002807159e-05,-0,6.37806742184875e-05,-1.08460874830019e-16
0.173,0.0395919036621678,-7.74521146288051e-05,-0,6.97424002806075e-05,-1.13353337133359e-16
0.174,0.039514451547539,-8.65297994162156e-05,-0,7.74521146286918e-05,3.81652717242054e-16
0.175,0.0394279217481228,-9.6231277067399e-05,-0,8.65297994165973e-05,1.12133609689313e-16
0.176,0.0393316904710554,-0.000105909443138062,-0,9.62312770675111e-05,1.25713241899694e-16
0.177,0.0392257810279173,-0.00011510762330752,-0,0.000105909443138188,1.47275312605e-16
0.178,0.0391106734046098,-0.000123083366700118,-0,0.000115107623307667,-5.17706537361828e-17
0.179,0.0389875900379097,-0.000129452092176817,-0,0.000123083366700066,-1.84585419865657e-16
0.18,0.0388581379457329,-0.000133825486628873,-0,0.000129452092176632,7.12862928409219e-18
0.181,0.038724312459104,-0.000135729280251629,-0,0.00013382548662888,1.22514845490862e-16
0.182,0.0385885831788524,-0.00013513969622761,-0,0.000135729280251751,-1.88922228555599e-17
0.183,0.0384534434826248,-0.00013187307341761,-0,0.000135139696227591,1.17825671094862e-16
0.184,0.0383215704092072,-0.000125961067744554,-0,0.000131873073417728,-2.08654708094835e-16
0.185,0.0381956093414626,-0.000117763749243063,-0,0.000125961067744345,3.8218126580114e-18
0.186,0.0380778455922196,-0.00010742356425588,-0,0.000117763749243067,2.13506512816708e-16
0.187,0.0379704220279637,-9.54940272232044e-05,-0,0.000107423564256094,-2.27682456221956e-17
0.188,0.0378749280007405,-8.25224234834512e-05,-0,9.54940272231816e-05,7.48099499014998e-17
0.189,0.037792405577257,-6.89325665664195e-05,-0,8.2522423483526e-05,-2.87638836360404e-16
0.19,0.0377234730106906,-5.54852912450499e-05,-0,6.89325665661319e-05,1.06272141694314e-16
0.191,0.0376679877194455,-4.26441292089436e-05,-0,5.54852912451561e-05,-9.31939529887071e-17
0.192,0.0376253435902366,-3.09031816626698e-05,-0,4.26441292088504e-05,9.24485639951234e-17
0.193,0.0375944404085739,-2.08767126415182e-05,-0,3.09031816627623e-05,-1.28376313485862e-17
0.194,0.0375735636959324,-1.27811263321981e-05,-0,2.08767126415054e-05,1.38528850391652e-16
0.195,0.0375607825696002,-7.0242848096147e-06,-0,1.27811263323366e-05,3.67002435386343e-17
0.196,0.0375537582847906,-3.84894701049854e-06,-0,7.0242848096514e-06,-1.57444790169735e-16
0.197,0.0375499093377801,-3.2037286669187e-06,-0,3.84894701034109e-06,8.00573190097402e-18
0.198,0.0375467056091132,-5.25852180896513e-06,-0,3.20372866692671e-06,1.02817094302463e-16
0.199,0.0375414470873042,-9.77758824307479e-06,-0,5.25852180906795e-06,-8.89994458339038e-17
0.2,0.0375316694990611,-1.64858476953481e-05,-0,9.77758824298579e-06,-3.55686075211026e-17
0.201,0.0375151836513658,-2.51776057577022e-05,-0,1.64858476953125e-05,9.44780549367447e-17
0.202,0.0374900060456081,-3.52403216044989e-05,-0,2.51776057577966e-05,-2.23616698075135e-17
0.203,0.0374547657240036,-4.62854633076284e-05,-0,3.52403216044765e-05,-7.99124763757597e-17
0.204,0.037408480260696,-5.78260248395093e-05,-0,4.62854633075485e-05,-5.97666447582634e-18
0.205,0.0373506542358565,-6.92070752022073e-05,-0,5.78260248395034e-05,-2.73218947466347e-17
0.206,0.0372814471606542,-8.01213436293705e-05,-0,6.92070752021799e-05,-1.09667049746909e-16
0.207,0.0372013258170249,-9.00438344454899e-05,-0,8.01213436292608e-05,1.04815245025036e-16
0.208,0.0371112819825794,-9.85773218801639e-05,-0,9.00438344455947e-05,1.26838101653648e-16
0.209,0.0370127046606992,-0.000105587260955109,-0,9.85773218802907e-05,1.13502414932076e-16
0.21,0.0369071173997441,-0.000110695843829306,-0,0.000105587260955222,-1.80519661718836e-17
0.211,0.0367964215559148,-0.000113898272533941,-0,0.000110695843829288,1.48129121815832e-17
