time,total_energy,energy_increment,external_power,tip_velocity_B_1,tip_velocity_B_2,tip_velocity_B_3,tip_position_I_1,tip_position_I_2,tip_position_I_3,mid_constraint_1,mid_constraint_2,mid_constraint_3,mid_constraint_4,mid_constraint_5,mid_constraint_6,mid_constraint_norm,drift_K_1,drift_K_2,drift_K_3,Gamma_1,Gamma_2,Gamma_3
0.031,0.0936856966353272,0.000946242514740139,0.946242514740032,-3.26685107346742,-1.72905165919523,0.151719834419091,0.997034417446021,0.0335954306477141,0.0349539052826319,1.55431223447522e-15,1.22124532708767e-15,-5.55111512312578e-17,6.45100292628875e-18,-1.73472347597681e-18,-1.73472347597681e-18,1.97748724219745e-15,5.61487945876948e-16,3.09726181036078e-16,3.1055562114552e-15,2.75551213939975e-16,1.47648791894838e-16,2.94549303402259e-15
0.032,0.0946319391500674,0.000312990638736813,0.312990638736653,-3.26601022755748,-1.79129046055083,0.169102412716374,0.99664622660264,0.0361541156629496,0.0376178734321227,1.66533453693773e-15,1.22124532708767e-15,-1.11022302462516e-16,1.2414114874959e-17,0,-3.46944695195361e-18,2.06815651433963e-15,5.36447633426588e-16,3.11243003668549e-16,3.11935503879049e-15,1.80482646908367e-16,1.00538284341549e-16,2.52529983009048e-15
0.033,0.0949449297888042,0.000132958682718065,0.132958682718157,-3.23360877260115,-1.84803717957813,0.187820066281477,0.996247149492885,0.0387274502121195,0.0402869743756353,1.66533453693773e-15,1.33226762955019e-15,-1.11022302462516e-16,1.22514845490862e-17,-1.73472347597681e-18,3.46944695195361e-18,2.13559529253797e-15,5.67196882218672e-16,3.39330823939522e-16,3.41026693415292e-15,2.1663968454737e-16,1.30031644062602e-16,2.56390017086908e-15
0.034,0.0950778884715222,6.64055739224012e-05,-0.0664055739222988,-3.17649441037295,-1.89227639275151,0.207693316647851,0.995844302498382,0.0412974628941803,0.0429408230842411,1.66533453693773e-15,1.33226762955019e-15,-1.11022302462516e-16,7.48099499014998e-18,-3.46944695195361e-18,-3.46944695195361e-18,2.13557536690217e-15,5.13879439913034e-16,3.78939128902517e-16,3.62282036333713e-15,2.59802374002532e-16,2.10654208069697e-16,3.30547814400544e-15
0.035,0.0950114828975998,0.000424090461773829,-0.424090461773946,-3.09627530729311,-1.92399123580799,0.228447520463283,0.995445066620531,0.0438474136961445,0.0455609571264234,1.66533453693773e-15,1.33226762955019e-15,-1.11022302462516e-16,-5.42101086242752e-19,-1.73472347597681e-18,-3.46944695195361e-18,2.13556021889111e-15,5.72564036418863e-16,3.73180119820829e-16,3.948651332705e-15,2.68187527051123e-16,1.87420520033666e-16,3.09097933802803e-15
0.036,0.094587392435826,0.000320456298584668,-0.320456298584702,-2.99204887123536,-1.94575231535889,0.249857562617183,0.9950570028297,0.0463610593709421,0.0481300726448485,1.77635683940025e-15,1.33226762955019e-15,-1.11022302462516e-16,-9.75781955236954e-19,0,-6.93889390390723e-18,2.22323091685826e-15,6.02569252739904e-16,4.49283176521989e-16,4.33084268868656e-15,2.64392164407149e-16,2.15917140931663e-16,3.06909403114487e-15
0.037,0.0942669361372413,0.000488260105612467,-0.488260105612399,-2.86833010423383,-1.94612743389845,0.271366894415036,0.994687941329919,0.0488213192659281,0.0506306436068992,1.66533453693773e-15,1.4432899320127e-15,-1.66533453693773e-16,-5.42101086242752e-19,-3.46944695195361e-18,-3.46944695195361e-18,2.21001871190357e-15,5.27490776019796e-16,4.63421441531897e-16,4.6051520855308e-15,3.31611064120466e-16,2.81697090480231e-16,3.66583807334099e-15
0.038,0.0937786760316289,0.000500768983116878,-0.500768983117029,-2.72297826228134,-1.93021132857578,0.292349706088902,0.994345754719534,0.0512103048072144,0.0530449015143936,1.66533453693773e-15,1.4432899320127e-15,-1.66533453693773e-16,-2.16840434497101e-19,0,0,2.21001320945957e-15,4.66128111680645e-16,4.95664993085642e-16,5.02942499112308e-15,2.99807779265455e-16,2.73021482475257e-16,3.53554178465634e-15
0.039,0.093277907048512,0.000359000671435628,-0.35900067143565,-2.56152694072752,-1.89560073212591,0.312019270714916,0.994037631708074,0.0535111307633547,0.0553567223739341,1.66533453693773e-15,1.55431223447522e-15,-1.11022302462516e-16,-2.16840434497101e-19,0,0,2.28069104457856e-15,4.42811953214062e-16,5.13858943589159e-16,5.18419897763255e-15,3.79422262456495e-16,3.04938563716646e-16,3.92002676525006e-15
0.04,0.0929189063770764,0.000413671767125701,-0.413671767125714,-2.38954471875975,-1.83908659928256,0.32967110051139,0.993769678137954,0.0557083627796384,0.0575520596822331,1.66533453693773e-15,1.55431223447522e-15,-1.11022302462516e-16,-1.30104260698261e-18,0,3.46944695195361e-18,2.28069404427141e-15,4.96633524640532e-16,5.3335430223497e-16,5.38850572209611e-15,3.99586266560306e-16,3.67070549031658e-16,4.00575559971607e-15
